2022-04-22 14:15:16,920 INFO 4559 [egg-logview] mount log /Users/xiongcheng/azure/MyBizIntouch/Intouch-Coach-App/logs at http://127.0.0.1:7001/__logs
2022-04-22 14:15:47,596 INFO 4559 [-/192.168.0.104/-/125ms GET /] [access] 192.168.0.104: - GET / HTTP/200 1811 - 78 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36
2022-04-22 14:15:48,905 INFO 4559 [-/192.168.0.104/-/6ms GET /employee] [access] 192.168.0.104: - GET /employee HTTP/200 1811 http://192.168.0.104:7001/employee 3 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:15:49,829 INFO 4559 [-/192.168.0.104/-/487ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/employee 484 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:15:50,369 INFO 4559 [-/192.168.0.104/-/183ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/employee 170 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:15:50,616 INFO 4559 [-/192.168.0.104/-/152ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/employee 151 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:32,257 INFO 4559 [-/192.168.0.104/-/9ms GET /home?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&levelCode=95&targetContactId=20003191085&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5] [access] 192.168.0.104: - GET /home?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&levelCode=95&targetContactId=20003191085&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5 HTTP/200 1943 http://192.168.0.104:7001/employee 5 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:32,914 INFO 4559 [-/192.168.0.104/-/251ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/home?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&levelCode=95&targetContactId=20003191085&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5 248 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:33,075 INFO 4559 [-/192.168.0.104/-/160ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/home?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&levelCode=95&targetContactId=20003191085&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5 154 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:33,244 INFO 4559 [-/192.168.0.104/-/167ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/home?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&levelCode=95&targetContactId=20003191085&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5 165 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:16:33,434 INFO 4559 [-/192.168.0.104/-/187ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/home?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&levelCode=95&targetContactId=20003191085&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5 185 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
